date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:55	502/502	---M--	200	added ('OK')	text/html	etag:%226a28d1-1f6-4574a66d6fe68%22	http://www.thaiall.com/assembly/index.html	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/index.html	(from )
12:36:56	593/593	---M--	404	error ('Not%20Found')	text/html	etag:%22169bb0d-251-42355c0638c27%22	http://www.thaiall.com/robots.txt		(from )
12:36:56	8411/8411	---M--	200	added ('OK')	text/html	etag:%226a28d4-20db-454b5d9707615%22	http://www.thaiall.com/assembly/indexl.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/indexl.htm	(from )
12:36:56	13576/13576	---M--	200	added ('OK')	text/html	etag:%2211a21cf-3508-474dbdf2174fb%22	http://www.thaiall.com/assembly/indexr.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/indexr.htm	(from )
12:36:57	855/855	---M--	200	added ('OK')	image/gif	etag:%22880ac8-357-40244429167f4%22	http://www.thaiall.com/assembly/l.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/l.gif	(from http://www.thaiall.com/assembly/index.html)
12:36:58	11307/11307	---M--	200	added ('OK')	text/html	etag:%226a28d3-2c2b-4547909ec8a54%22	http://www.thaiall.com/assembly/sylcs213.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/sylcs213.htm	(from http://www.thaiall.com/assembly/index.html)
12:36:59	4216/4216	---M--	200	added ('OK')	text/html	etag:%221fd417c-1078-454790e1117fc%22	http://www.thaiall.com/assembly/homework1.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/homework1.htm	(from http://www.thaiall.com/assembly/index.html)
12:37:00	3606/3606	---M--	200	added ('OK')	text/html	etag:%225019ed0-e16-454790b125047%22	http://www.thaiall.com/assembly/ocomputer.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/ocomputer.htm	(from http://www.thaiall.com/assembly/index.html)
12:37:01	19136/19136	---M--	200	added ('OK')	text/html	etag:%22569b099-4ac0-454790f60c965%22	http://www.thaiall.com/assembly/computer.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/computer.htm	(from http://www.thaiall.com/assembly/index.html)
12:37:12	79281/79281	---M--	200	added ('OK')	image/gif	etag:%226a28d2-135b1-4087fd06c7d01%22	http://www.thaiall.com/assembly/motherboard2.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/motherboard2.gif	(from http://www.thaiall.com/assembly/index.html)
12:37:12	104122/104122	---M--	200	added ('OK')	image/gif	etag:%2220c862f-196ba-4087fd0c61d0f%22	http://www.thaiall.com/assembly/motherboard1.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/motherboard1.gif	(from http://www.thaiall.com/assembly/index.html)
12:37:13	67852/67852	---M--	200	added ('OK')	image/gif	etag:%22267eabc-1090c-4262cb1c91226%22	http://www.thaiall.com/assembly/mainboard.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/mainboard.gif	(from http://www.thaiall.com/assembly/index.html)
12:37:13	3468/3468	---M--	200	added ('OK')	image/gif	etag:%2220c8630-d8c-4087fd0fb788b%22	http://www.thaiall.com/assembly/computerstructure.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/computerstructure.gif	(from http://www.thaiall.com/assembly/index.html)
12:37:13	908/908	---M--	200	added ('OK')	image/gif	etag:%22880aca-38c-402444c4d4e50%22	http://www.thaiall.com/assembly/d.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/d.gif	(from http://www.thaiall.com/assembly/index.html)
12:37:14	7719/7719	---M--	200	added ('OK')	text/html	etag:%22880ad3-1e27-454790adce292%22	http://www.thaiall.com/assembly/processor.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/processor.htm	(from http://www.thaiall.com/assembly/index.html)
12:37:14	8883/8883	---M--	200	added ('OK')	text/html	etag:%22880ad6-22b3-454790c78eed1%22	http://www.thaiall.com/assembly/internalcmd.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/internalcmd.htm	(from http://www.thaiall.com/assembly/index.html)
12:37:15	15238/15238	---M--	200	added ('OK')	text/html	etag:%22880ad4-3b86-47204d7101d16%22	http://www.thaiall.com/assembly/batch.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/batch.htm	(from http://www.thaiall.com/assembly/index.html)
12:37:15	5854/5854	---M--	200	added ('OK')	text/html	etag:%222108293-16de-454790dbd25c8%22	http://www.thaiall.com/assembly/winhex.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/winhex.htm	(from http://www.thaiall.com/assembly/index.html)
12:37:16	9898/9898	---M--	200	added ('OK')	text/html	etag:%22880ac7-26aa-454790aaf278c%22	http://www.thaiall.com/assembly/register.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/register.htm	(from http://www.thaiall.com/assembly/index.html)
12:37:18	71286/71286	---M--	200	added ('OK')	text/html	etag:%226a28de-11676-45479168533d2%22	http://www.thaiall.com/assembly/interrupt.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/interrupt.htm	(from http://www.thaiall.com/assembly/index.html)
12:37:18	11968/11968	---M--	200	added ('OK')	text/html	etag:%226a28d6-2ec0-455e2fc91b317%22	http://www.thaiall.com/assembly/debugcmd.htm	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/debugcmd.htm	(from http://www.thaiall.com/assembly/index.html)
