date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:07	8920/-1	---M--	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202009%2006:02:07%20GMT	http://www.lib.ru.ac.th/knowledge/pcweb/assembly.html	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/knowledge/pcweb/assembly.html	(from )
13:02:07	274/274	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Dec%202009%2006:02:07%20GMT	http://www.lib.ru.ac.th/robots.txt		(from )
13:02:07	801/801	---M--	200	added ('OK')	text/css	etag:%22f3961-321-bff9c0c0%22	http://www.lib.ru.ac.th/style/46default.css	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/style/46default.css	(from )
13:02:07	13846/13846	---M--	200	added ('OK')	image/gif	etag:%2211fde2-3616-6649d1c0%22	http://www.lib.ru.ac.th/images/libsupun.gif	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/images/libsupun.gif	(from )
13:02:08	3746/3746	---M--	200	added ('OK')	image/jpeg	etag:%2211fdcc-ea2-6649d1c0%22	http://www.lib.ru.ac.th/images/mdr2-s.jpg	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/images/mdr2-s.jpg	(from )
13:02:08	2976/2976	---M--	200	added ('OK')	image/gif	etag:%2211fd3d-ba0-6649d1c0%22	http://www.lib.ru.ac.th/images/libname.gif	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/images/libname.gif	(from )
13:02:08	1413/1413	---M--	200	added ('OK')	application/x-javascript	etag:%22f3957-585-91597340%22	http://www.lib.ru.ac.th/style/46menu.js	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/style/46menu.js	(from )
13:02:15	45074/45074	---M--	200	added ('OK')	application/pdf	etag:%22107992-b012-63b9b100%22	http://www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter02_SWOrganization.pdf	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter02_SWOrganization.pdf	(from )
13:02:18	16438/16438	---M--	200	added ('OK')	application/pdf	etag:%2210798c-4036-63b9b100%22	http://www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter05_Executing%20Assembly.PDF	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter05_Executing%20Assembly.PDF	(from )
13:02:19	66534/66534	---M--	200	added ('OK')	application/pdf	etag:%22107993-103e6-63b9b100%22	http://www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter03_Coding.pdf	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter03_Coding.pdf	(from )
13:02:25	30852/30852	---M--	200	added ('OK')	application/pdf	etag:%2210798f-7884-63b9b100%22	http://www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter07_Strings.PDF	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter07_Strings.PDF	(from )
13:02:32	144106/144106	---M--	200	added ('OK')	application/pdf	etag:%2210798e-232ea-63b9b100%22	http://www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter04_DebugProgram.pdf	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter04_DebugProgram.pdf	(from )
13:02:32	84870/84870	---M--	200	added ('OK')	application/pdf	etag:%2210798a-14b86-63b9b100%22	http://www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter06_Instructions.PDF	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter06_Instructions.PDF	(from )
13:02:38	32766/32766	---M--	200	added ('OK')	application/pdf	etag:%2210798b-7ffe-63b9b100%22	http://www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter10_macros.PDF	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter10_macros.PDF	(from )
13:02:41	54309/54309	---M--	200	added ('OK')	application/pdf	etag:%2210798d-d425-63b9b100%22	http://www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter09_Keyboard_screen.PDF	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter09_Keyboard_screen.PDF	(from )
13:02:41	262/262	---M--	200	added ('OK')	image/gif	etag:%2211fda6-106-6649d1c0%22	http://www.lib.ru.ac.th/images/bul2.gif	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/images/bul2.gif	(from )
13:02:44	38729/38729	---M--	200	added ('OK')	application/pdf	etag:%22107989-9749-63b9b100%22	http://www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter11_Link_to_sub.PDF	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter11_Link_to_sub.PDF	(from )
13:02:59	213273/213273	---M--	200	added ('OK')	application/pdf	etag:%22107994-34119-63b9b100%22	http://www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter08_Logic_control.PDF	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter08_Logic_control.PDF	(from )
13:03:38	581354/581354	---M--	200	added ('OK')	application/pdf	etag:%22107990-8deea-63b9b100%22	http://www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter01_Intro_PC.pdf	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/knowledge/pcweb/assembly/chapter01_Intro_PC.pdf	(from )
13:03:44	281082/281082	---M--	200	added ('OK')	application/octet-stream	etag:%2210f793-449fa-64800e40%22	http://www.lib.ru.ac.th/download/MASM611d/lnk563.exe	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/download/MASM611d/lnk563.exe	(from )
13:03:44	1158/1158	---M--	200	added ('OK')	application/x-javascript	etag:%22f395b-486-1a049e00%22	http://www.lib.ru.ac.th/style/46foot.js	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/style/46foot.js	(from )
13:05:26	878594/878594	---M--	200	added ('OK')	application/octet-stream	etag:%2210f79b-d6802-64cc5980%22	http://www.lib.ru.ac.th/download/patch/Ml614.exe	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/download/patch/Ml614.exe	(from )
13:07:14	2569240/2569240	---M--	200	added ('OK')	application/octet-stream	etag:%2210f795-273418-64800e40%22	http://www.lib.ru.ac.th/download/MASM611d/BINS_DDK.EXE	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/download/MASM611d/BINS_DDK.EXE	(from )
13:07:54	3523600/3523600	---M--	200	added ('OK')	application/octet-stream	etag:%2210f794-35c410-64800e40%22	http://www.lib.ru.ac.th/download/MASM611d/98SETUP.EXE	C:/My%20Web%20Sites/Assembly√“¡§”·Àß/www.lib.ru.ac.th/download/MASM611d/98SETUP.EXE	(from )
